Mes;Consumo Bogotá (m3-mes);Consumo Soacha (m3-mes);Consumo Gachancipá (m3-mes)
ene-19;11,55;12,61;28,57
feb-19;11,21;7,51;9,24
mar-19;11,06;8,05;9,23
abr-19;11,33;7,71;9,63
may-19;11,39;8;9,64
jun-19;11,34;7,72;10
jul-19;11,26;7,9;10
ago-19;11,32;7,72;10,06
sep-19;11,37;7,87;10,07
oct-19;11,34;7,73;10,18
nov-19;11,39;7,85;10,45
dic-19;11,35;7,73;10,45
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
