mes;Bogotá;Soacha;Gachancipá
ene-20;11,5;12,64;11,08
feb-20;11,12;7,53;11,03
mar-20;11,32;7,95;10,52
abr-20;11,14;7,52;10,52
may-20;11,09;7,71;10,55
jun-20;10,96;7,47;10,55
jul-20;10,89;7,44;10,5
ago-20;10,77;7,42;10,49
sep-20;10,76;7,47;10,44
oct-20;10,73;7,42;10,44
nov-20;10,79;7,43;10,56
dic-20;10,78;7,48;10,54
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
