Mes;Consumo Bogotá (m3-mes);Consumo Soacha (m3-mes);Consumo Gachancipá (m3-mes)
ene-21;11,35;7,62;11,04
feb-21;10,63;7,72;11
mar-21;10,68;7,8;11,5
abr-21;10,54;7,67;11,49
may-21;10,66;7,76;11,39
jun-21;10,56;7,64;11,39
jul-21;10,61;7,71;11,1
ago-21;10,55;7,63;11,1
sep-21;10,62;7,66;11,05
oct-21;10,61;7,64;11,05
nov-21;10,69;7,7;11
dic-21;10,64;7,65;11
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
